Transaction_date,Product,Price,Payment_Type,Name,City,State,Country,Account_Created,Last_Login,Latitude,Longitude,US Zip
Transaction_date # 0,Product # 0,Price # 0,Visa,Name # 0,Parkville,MO,United States,Account_Created # 0,Last_Login # 0,Latitude # 0,-94.68194,64152
Transaction_date # 1,Product # 1,Price # 1,Mastercard,Name # 1,Astoria,OR,United States,Account_Created # 1,Last_Login # 1,Latitude # 1,-123.83,97103
Transaction_date # 2,Product # 2,Price # 2,Visa,Name # 2,Cahaba Heights,AL,United States,Account_Created # 2,Last_Login # 2,Latitude # 2,-86.8025,35243
Transaction_date # 3,Product # 3,Price # 3,Visa,Name # 3,Mickleton,NJ,United States,Account_Created # 3,Last_Login # 3,Latitude # 3,-75.23806,08056
Transaction_date # 4,Product # 4,Price # 4,Mastercard,Name # 4,Peoria,IL,United States,Account_Created # 4,Last_Login # 4,Latitude # 4,-89.58889,61601
Transaction_date # 5,Product # 5,Price # 5,Mastercard,Name # 5,Martin,TN,United States,Account_Created # 5,Last_Login # 5,Latitude # 5,-88.85028,38237
Transaction_date # 6,Product # 6,Price # 6,Diners,Name # 6,New York,NY,United States,Account_Created # 6,Last_Login # 6,Latitude # 6,-74.00639,10002
Transaction_date # 7,Product # 7,Price # 7,Mastercard,Name # 7,Shavano Park,TX,United States,Account_Created # 7,Last_Login # 7,Latitude # 7,-98.49333,78230
Transaction_date # 8,Product # 8,Price # 8,Visa,Name # 8,Eagle,ID,United States,Account_Created # 8,Last_Login # 8,Latitude # 8,-116.35306,83616
Transaction_date # 9,Product # 9,Price # 9,Visa,Name # 9,Riverside,NJ,United States,Account_Created # 9,Last_Login # 9,Latitude # 9,-74.95778,08075
Transaction_date # 10,Product # 10,Price # 10,Diners,Name # 10,Salt Lake City,UT,United States,Account_Created # 10,Last_Login # 10,Latitude # 10,-111.89028,84111
Transaction_date # 11,Product # 11,Price # 11,Visa,Name # 11,Chula Vista,CA,United States,Account_Created # 11,Last_Login # 11,Latitude # 11,-117.08333,91910
Transaction_date # 12,Product # 12,Price # 12,Visa,Name # 12,Sugar Land,TX,United States,Account_Created # 12,Last_Login # 12,Latitude # 12,-95.63472,77478
Transaction_date # 13,Product # 13,Price # 13,Diners,Name # 13,New York,NY,United States,Account_Created # 13,Last_Login # 13,Latitude # 13,-74.00639,10007
Transaction_date # 14,Product # 14,Price # 14,Visa,Name # 14,Morton,IL,United States,Account_Created # 14,Last_Login # 14,Latitude # 14,-89.45917,61550
Transaction_date # 15,Product # 15,Price # 15,Visa,Name # 15,Los Gatos,CA,United States,Account_Created # 15,Last_Login # 15,Latitude # 15,-121.97361,95032
Transaction_date # 16,Product # 16,Price # 16,Mastercard,Name # 16,New York,NY,United States,Account_Created # 16,Last_Login # 16,Latitude # 16,-74.00639,10007
Transaction_date # 17,Product # 17,Price # 17,Mastercard,Name # 17,Miami,FL,United States,Account_Created # 17,Last_Login # 17,Latitude # 17,-80.19389,33130
Transaction_date # 18,Product # 18,Price # 18,Diners,Name # 18,Brooklyn,NY,United States,Account_Created # 18,Last_Login # 18,Latitude # 18,-73.95,11226
Transaction_date # 19,Product # 19,Price # 19,Amex,Name # 19,Reston,VA,United States,Account_Created # 19,Last_Login # 19,Latitude # 19,-77.34139,20190
Transaction_date # 20,Product # 20,Price # 20,Visa,Name # 20,Phoenix,AZ,United States,Account_Created # 20,Last_Login # 20,Latitude # 20,-112.07333,85004
Transaction_date # 21,Product # 21,Price # 21,Mastercard,Name # 21,Houston,TX,United States,Account_Created # 21,Last_Login # 21,Latitude # 21,-95.36306,77002
Transaction_date # 22,Product # 22,Price # 22,Amex,Name # 22,Pittsfield,VT,United States,Account_Created # 22,Last_Login # 22,Latitude # 22,-72.81333,05762
Transaction_date # 23,Product # 23,Price # 23,Amex,Name # 23,Pittsfield,VT,United States,Account_Created # 23,Last_Login # 23,Latitude # 23,-72.81333,05762
Transaction_date # 24,Product # 24,Price # 24,Mastercard,Name # 24,Ball Ground,GA,United States,Account_Created # 24,Last_Login # 24,Latitude # 24,-84.37667,30107
Transaction_date # 25,Product # 25,Price # 25,Visa,Name # 25,Flossmoor,IL,United States,Account_Created # 25,Last_Login # 25,Latitude # 25,-87.68472,60422
Transaction_date # 26,Product # 26,Price # 26,Amex,Name # 26,Houston,TX,United States,Account_Created # 26,Last_Login # 26,Latitude # 26,-95.36306,77002
Transaction_date # 27,Product # 27,Price # 27,Visa,Name # 27,Delray Beach,FL,United States,Account_Created # 27,Last_Login # 27,Latitude # 27,-80.07306,33444
Transaction_date # 28,Product # 28,Price # 28,Amex,Name # 28,Sandy Springs,GA,United States,Account_Created # 28,Last_Login # 28,Latitude # 28,-84.37861,30328
Transaction_date # 29,Product # 29,Price # 29,Visa,Name # 29,Fort Lauderdale,FL,United States,Account_Created # 29,Last_Login # 29,Latitude # 29,-80.14361,33301
Transaction_date # 30,Product # 30,Price # 30,Visa,Name # 30,Ankeny,IA,United States,Account_Created # 30,Last_Login # 30,Latitude # 30,-93.60556,50023
Transaction_date # 31,Product # 31,Price # 31,Visa,Name # 31,Pittsboro,NC,United States,Account_Created # 31,Last_Login # 31,Latitude # 31,-79.1775,27312
Transaction_date # 32,Product # 32,Price # 32,Mastercard,Name # 32,New Rochelle,NY,United States,Account_Created # 32,Last_Login # 32,Latitude # 32,-73.78278,10801
Transaction_date # 33,Product # 33,Price # 33,Mastercard,Name # 33,Beachwood,OH,United States,Account_Created # 33,Last_Login # 33,Latitude # 33,-81.50889,44122
Transaction_date # 34,Product # 34,Price # 34,Mastercard,Name # 34,W Lebanon,NH,United States,Account_Created # 34,Last_Login # 34,Latitude # 34,-72.31083,03784
Transaction_date # 35,Product # 35,Price # 35,Visa,Name # 35,Woodsboro,MD,United States,Account_Created # 35,Last_Login # 35,Latitude # 35,-77.315,21798
Transaction_date # 36,Product # 36,Price # 36,Diners,Name # 36,Memphis,TN,United States,Account_Created # 36,Last_Login # 36,Latitude # 36,-90.04889,38103
Transaction_date # 37,Product # 37,Price # 37,Visa,Name # 37,Cincinnati,OH,United States,Account_Created # 37,Last_Login # 37,Latitude # 37,-84.45694,45212
Transaction_date # 38,Product # 38,Price # 38,Visa,Name # 38,Staten Island,NY,United States,Account_Created # 38,Last_Login # 38,Latitude # 38,-74.15917,10303
Transaction_date # 39,Product # 39,Price # 39,Visa,Name # 39,Farmington,MI,United States,Account_Created # 39,Last_Login # 39,Latitude # 39,-83.37639,48336
Transaction_date # 40,Product # 40,Price # 40,Diners,Name # 40,Santa Monica,CA,United States,Account_Created # 40,Last_Login # 40,Latitude # 40,-118.49028,90401
Transaction_date # 41,Product # 41,Price # 41,Mastercard,Name # 41,Irvine,CA,United States,Account_Created # 41,Last_Login # 41,Latitude # 41,-117.82222,92614
Transaction_date # 42,Product # 42,Price # 42,Visa,Name # 42,Keller,VA,United States,Account_Created # 42,Last_Login # 42,Latitude # 42,-75.76417,23401
Transaction_date # 43,Product # 43,Price # 43,Mastercard,Name # 43,Honolulu,HI,United States,Account_Created # 43,Last_Login # 43,Latitude # 43,-157.85833,96813
Transaction_date # 44,Product # 44,Price # 44,Visa,Name # 44,Amelia Island,FL,United States,Account_Created # 44,Last_Login # 44,Latitude # 44,-81.46278,32034
Transaction_date # 45,Product # 45,Price # 45,Mastercard,Name # 45,Coral Gables,FL,United States,Account_Created # 45,Last_Login # 45,Latitude # 45,-80.26861,33146
Transaction_date # 46,Product # 46,Price # 46,Visa,Name # 46,Miami,FL,United States,Account_Created # 46,Last_Login # 46,Latitude # 46,-80.19389,33130
Transaction_date # 47,Product # 47,Price # 47,Visa,Name # 47,Englewood,CO,United States,Account_Created # 47,Last_Login # 47,Latitude # 47,-104.98722,80113
Transaction_date # 48,Product # 48,Price # 48,Mastercard,Name # 48,Genoa,IL,United States,Account_Created # 48,Last_Login # 48,Latitude # 48,-88.69278,60135
Transaction_date # 49,Product # 49,Price # 49,Visa,Name # 49,Parkland,FL,United States,Account_Created # 49,Last_Login # 49,Latitude # 49,-80.2375,33067
Transaction_date # 50,Product # 50,Price # 50,Amex,Name # 50,San Francisco,CA,United States,Account_Created # 50,Last_Login # 50,Latitude # 50,-122.41833,94103
Transaction_date # 51,Product # 51,Price # 51,Mastercard,Name # 51,Keller,VA,United States,Account_Created # 51,Last_Login # 51,Latitude # 51,-75.76417,23401
Transaction_date # 52,Product # 52,Price # 52,Mastercard,Name # 52,Clinton,NJ,United States,Account_Created # 52,Last_Login # 52,Latitude # 52,-74.91028,08809
Transaction_date # 53,Product # 53,Price # 53,Mastercard,Name # 53,Owensboro,KY,United States,Account_Created # 53,Last_Login # 53,Latitude # 53,-87.11333,42303
Transaction_date # 54,Product # 54,Price # 54,Visa,Name # 54,Lakewood Village,TX,United States,Account_Created # 54,Last_Login # 54,Latitude # 54,-96.96917,75068
Transaction_date # 55,Product # 55,Price # 55,Visa,Name # 55,College Park,MD,United States,Account_Created # 55,Last_Login # 55,Latitude # 55,-76.93722,20740
Transaction_date # 56,Product # 56,Price # 56,Visa,Name # 56,Kailua Kona,HI,United States,Account_Created # 56,Last_Login # 56,Latitude # 56,-155.9003,96740
Transaction_date # 57,Product # 57,Price # 57,Amex,Name # 57,Redondo Beach,CA,United States,Account_Created # 57,Last_Login # 57,Latitude # 57,-118.3875,90277
Transaction_date # 58,Product # 58,Price # 58,Amex,Name # 58,Fountain Hls,AZ,United States,Account_Created # 58,Last_Login # 58,Latitude # 58,-111.71667,85268
Transaction_date # 59,Product # 59,Price # 59,Mastercard,Name # 59,Mahopac,NY,United States,Account_Created # 59,Last_Login # 59,Latitude # 59,-73.73389,10541
Transaction_date # 60,Product # 60,Price # 60,Visa,Name # 60,Chicago,IL,United States,Account_Created # 60,Last_Login # 60,Latitude # 60,-87.65,60608
Transaction_date # 61,Product # 61,Price # 61,Visa,Name # 61,Rayford,TX,United States,Account_Created # 61,Last_Login # 61,Latitude # 61,-95.41694,77373
Transaction_date # 62,Product # 62,Price # 62,Visa,Name # 62,Escondido,CA,United States,Account_Created # 62,Last_Login # 62,Latitude # 62,-117.08556,92025
Transaction_date # 63,Product # 63,Price # 63,Visa,Name # 63,Ashburn,VA,United States,Account_Created # 63,Last_Login # 63,Latitude # 63,-77.48778,20147
Transaction_date # 64,Product # 64,Price # 64,Amex,Name # 64,Los Angeles,CA,United States,Account_Created # 64,Last_Login # 64,Latitude # 64,-118.24278,90012
Transaction_date # 65,Product # 65,Price # 65,Visa,Name # 65,Edgewood,WA,United States,Account_Created # 65,Last_Login # 65,Latitude # 65,-122.2925,98372
Transaction_date # 66,Product # 66,Price # 66,Visa,Name # 66,New York,NY,United States,Account_Created # 66,Last_Login # 66,Latitude # 66,-74.00639,10007
Transaction_date # 67,Product # 67,Price # 67,Visa,Name # 67,Marietta,GA,United States,Account_Created # 67,Last_Login # 67,Latitude # 67,-84.55,30060
Transaction_date # 68,Product # 68,Price # 68,Mastercard,Name # 68,Houston,TX,United States,Account_Created # 68,Last_Login # 68,Latitude # 68,-95.36306,77002
Transaction_date # 69,Product # 69,Price # 69,Visa,Name # 69,West Orange,NJ,United States,Account_Created # 69,Last_Login # 69,Latitude # 69,-74.23944,07052
Transaction_date # 70,Product # 70,Price # 70,Visa,Name # 70,Downey,CA,United States,Account_Created # 70,Last_Login # 70,Latitude # 70,-118.13167,90241
Transaction_date # 71,Product # 71,Price # 71,Mastercard,Name # 71,Lafayette,CA,United States,Account_Created # 71,Last_Login # 71,Latitude # 71,-122.11694,94549
Transaction_date # 72,Product # 72,Price # 72,Visa,Name # 72,Nashville,AR,United States,Account_Created # 72,Last_Login # 72,Latitude # 72,-93.84694,71852
Transaction_date # 73,Product # 73,Price # 73,Visa,Name # 73,Joppa,MD,United States,Account_Created # 73,Last_Login # 73,Latitude # 73,-76.35806,21085
Transaction_date # 74,Product # 74,Price # 74,Visa,Name # 74,Joppa,MD,United States,Account_Created # 74,Last_Login # 74,Latitude # 74,-76.35806,21085
Transaction_date # 75,Product # 75,Price # 75,Diners,Name # 75,Hampton,NJ,United States,Account_Created # 75,Last_Login # 75,Latitude # 75,-74.95639,08827
Transaction_date # 76,Product # 76,Price # 76,Mastercard,Name # 76,Louisville,KY,United States,Account_Created # 76,Last_Login # 76,Latitude # 76,-85.75944,40202
Transaction_date # 77,Product # 77,Price # 77,Visa,Name # 77,Broadlands,VA,United States,Account_Created # 77,Last_Login # 77,Latitude # 77,-77.48778,20147
Transaction_date # 78,Product # 78,Price # 78,Visa,Name # 78,Los Angeles,CA,United States,Account_Created # 78,Last_Login # 78,Latitude # 78,-118.24278,90012
Transaction_date # 79,Product # 79,Price # 79,Visa,Name # 79,New York,NY,United States,Account_Created # 79,Last_Login # 79,Latitude # 79,-74.00639,10007
Transaction_date # 80,Product # 80,Price # 80,Visa,Name # 80,Saint Paul,MN,United States,Account_Created # 80,Last_Login # 80,Latitude # 80,-93.09306,55101
